Timestamp (s),Voltage (uV)
53.1456,-75.66
53.145700000000005,-76.635
53.1458,-85.41
53.145900000000005,-90.09
53.146,-81.315
53.146100000000004,-85.8
53.1462,-86.775
53.146300000000004,-95.55
53.1464,-85.215
53.1465,-80.34
53.1466,-86.97
53.1467,-90.675
53.146800000000006,-93.21000000000001
53.1469,-88.53
53.147000000000006,-88.92
53.1471,-89.7
53.147200000000005,-78.39
53.1473,-88.14
53.147400000000005,-85.8
53.1475,-85.02
53.147600000000004,-83.85000000000001
53.1477,-82.29
53.147800000000004,-91.065
53.1479,-96.33
53.148,-88.92
53.1481,-88.33500000000001
53.1482,-88.92
53.148300000000006,-97.11
53.1484,-94.965
53.148500000000006,-87.75
53.1486,-87.94500000000001
53.148700000000005,-83.85000000000001
53.1488,-90.87
53.148900000000005,-84.825
53.149,-87.75
53.149100000000004,-82.29
53.1492,-85.995
53.149300000000004,-97.11
53.1494,-97.69500000000001
53.1495,-94.575
53.1496,-85.02
53.1497,-88.14
53.1498,-88.72500000000001
53.1499,-89.895
53.150000000000006,-87.94500000000001
53.1501,-91.065
53.150200000000005,-83.655
53.1503,-98.67
53.150400000000005,-85.41
53.1505,-86.385
53.150600000000004,-95.94
53.1507,-84.435
53.150800000000004,-89.11500000000001
53.1509,-83.85000000000001
53.151,-82.29
53.1511,-103.74000000000001
53.1512,-95.745
53.1513,-88.72500000000001
53.1514,-89.11500000000001
53.151500000000006,-89.895
53.1516,-90.285
53.151700000000005,-91.26
53.1518,-94.185
53.151900000000005,-94.185
53.152,-90.87
53.152100000000004,-93.99000000000001
53.1522,-88.72500000000001
53.152300000000004,-98.86500000000001
53.1524,-86.19
53.1525,-86.97
53.1526,-84.435
53.1527,-87.94500000000001
53.1528,-91.065
53.1529,-92.625
53.153000000000006,-82.68
53.1531,-101.595
53.153200000000005,-95.355
53.1533,-90.675
53.153400000000005,-93.99000000000001
53.1535,-94.77000000000001
53.153600000000004,-80.925
53.1537,-88.14
53.153800000000004,-84.63000000000001
53.1539,-83.07000000000001
53.154,-86.385
53.1541,-86.775
53.1542,-93.405
53.1543,-91.845
53.1544,-88.53
53.154500000000006,-81.12
53.1546,-93.795
53.154700000000005,-89.50500000000001
53.1548,-92.82000000000001
53.154900000000005,-88.92
53.155,-95.55
53.155100000000004,-84.63000000000001
53.1552,-94.38000000000001
53.155300000000004,-102.57000000000001
53.1554,-86.19
53.1555,-87.555
53.1556,-101.205
53.1557,-102.765
53.1558,-93.015
53.1559,-94.77000000000001
53.156000000000006,-87.75
53.1561,-93.795
53.156200000000005,-85.605
53.1563,-89.7
53.156400000000005,-92.235
53.1565,-97.11
53.156600000000005,-98.67
53.1567,-93.015
53.156800000000004,-92.625
53.1569,-96.72
53.157000000000004,-99.06
