Timestamp (s),Voltage (uV)
0.0,145.86
0.0001,155.025
0.0002,151.905
0.00030000000000000003,142.54500000000002
0.0004,144.10500000000002
0.0005,137.865
0.0006000000000000001,146.445
0.0007,145.47
0.0008,145.47
0.0009000000000000001,146.055
0.001,149.175
0.0011,154.83
0.0012000000000000001,153.07500000000002
0.0013000000000000002,153.66
0.0014,147.03
0.0015,145.47
0.0016,149.175
0.0017000000000000001,156.585
0.0018000000000000002,147.42000000000002
0.0019,154.245
0.002,145.665
0.0021000000000000003,152.685
0.0022,149.565
0.0023,151.905
0.0024000000000000002,144.10500000000002
0.0025,150.735
0.0026000000000000003,138.255
0.0027,149.955
0.0028,134.35500000000002
0.0029000000000000002,148.20000000000002
0.003,148.59
0.0031000000000000003,153.07500000000002
0.0032,144.3
0.0033,150.15
0.0034000000000000002,143.52
0.0035,140.985
0.0036000000000000003,149.37
0.0037,142.155
0.0038,155.415
0.0039000000000000003,139.035
0.004,144.69
0.0041,144.10500000000002
0.004200000000000001,142.155
0.0043,147.03
0.0044,143.52
0.0045000000000000005,153.465
0.0046,149.76
0.0047,142.935
0.0048000000000000004,145.08
0.0049,145.86
0.005,149.76
0.0051,149.955
0.005200000000000001,157.755
0.0053,140.01
0.0054,142.74
0.0055000000000000005,148.98000000000002
0.0056,151.905
0.0057,145.08
0.0058000000000000005,143.715
0.0059,138.255
0.006,144.10500000000002
0.0061,142.35
0.006200000000000001,143.52
0.0063,143.91
0.0064,146.25
0.006500000000000001,141.57
0.0066,148.20000000000002
0.0067,146.445
0.0068000000000000005,142.54500000000002
0.006900000000000001,139.035
0.007,145.665
0.0071,136.11
0.007200000000000001,145.86
0.0073,153.66
0.0074,137.475
0.007500000000000001,143.13
0.0076,150.735
0.0077,146.835
0.0078000000000000005,148.785
0.0079,156.39000000000001
0.008,152.88
0.0081,140.79
0.0082,155.025
0.0083,151.125
0.008400000000000001,143.91
0.0085,155.025
0.0086,146.25
0.008700000000000001,150.345
0.0088,139.62
0.0089,141.375
0.009000000000000001,142.155
0.0091,139.815
0.0092,153.66
0.009300000000000001,146.835
0.0094,147.615
0.0095,137.67000000000002
0.009600000000000001,142.74
0.0097,141.76500000000001
0.0098,138.84
0.0099,136.695
0.01,153.27
0.010100000000000001,148.20000000000002
0.0102,141.76500000000001
0.0103,143.32500000000002
0.010400000000000001,150.93
0.0105,151.51500000000001
0.0106,155.61
0.010700000000000001,147.615
0.0108,147.615
0.0109,140.595
0.011000000000000001,144.10500000000002
0.0111,143.52
0.0112,140.4
0.011300000000000001,144.495
0.0114,145.86
0.0115,135.72
0.011600000000000001,148.395
0.0117,145.47
0.0118,152.49
0.0119,154.63500000000002
0.012,148.395
0.012100000000000001,142.155
0.0122,147.81
0.0123,138.255
0.012400000000000001,148.98000000000002
0.0125,139.23000000000002
0.0126,134.16
0.012700000000000001,138.255
0.0128,150.345
0.0129,141.375
0.013000000000000001,142.35
0.0131,138.06
0.0132,149.175
0.013300000000000001,140.205
0.0134,133.185
0.0135,146.445
0.013600000000000001,151.125
0.0137,144.885
0.013800000000000002,143.32500000000002
0.013900000000000001,142.54500000000002
0.014,144.69
0.014100000000000001,148.98000000000002
0.0142,142.155
0.0143,140.595
0.014400000000000001,140.985
0.0145,138.255
0.0146,142.54500000000002
0.014700000000000001,152.1
0.0148,147.03
0.0149,139.62
0.015000000000000001,150.93
0.0151,150.345
